project_id,state,district,latitude,longitude,project_type,implementing_department,land_area_hectares,families_affected,compensation_assessed_inr,compensation_disbursed_pct,legal_disputes_count,notification_date,approval_stage,rr_progress_pct,stakeholder_responsiveness,historical_dept_avg_delay_days,last_activity_date,risk_score_raw,delayed,delay_days
LA-2022-0130,Gujarat,Ahmedabad,22.3404,71.388,Irrigation/Water Res.,State Water Resources Dept,7.8,42,72079000,69.1,0,2022-01-18,Stage 3 of 5,54.8,Low,155,2026-08-20,0.216,N,20
LA-2021-0131,Maharashtra,Thane,20.3008,76.2452,Industrial Corridor,State Industrial Dev. Corp,3.7,18,11423000,80.8,0,2021-11-12,Stage 4 of 5,57.3,High,109,2026-08-15,0.192,N,2
LA-2021-0132,Odisha,Khordha,21.4886,84.9033,Industrial Corridor,State Industrial Dev. Corp,17.4,39,130946000,79.5,0,2021-09-29,Stage 4 of 5,51.5,Medium,216,2026-08-08,0.103,N,4
LA-2021-0133,Bihar,Gaya,25.152,85.2325,Highway,NHAI,20.1,67,61342000,85.1,0,2021-05-02,Stage 5 of 5,88.5,Low,95,2026-07-15,0.077,N,7
LA-2024-0134,Gujarat,Bharuch,21.9216,71.1432,Power Transmission,Power Grid Corp,127.8,312,314132000,90.4,0,2024-01-03,Stage 5 of 5,77.1,High,219,2026-08-13,0.005,N,9
LA-2021-0135,Uttar Pradesh,Kanpur,27.0154,81.1461,Highway,NHAI,25.5,252,66448000,65.8,0,2021-10-03,Stage 3 of 5,51.1,Medium,266,2026-08-25,0.129,N,4
LA-2021-0136,Madhya Pradesh,Gwalior,22.3739,79.1386,Highway,NHAI,32.6,828,309601000,83.3,0,2021-09-21,Stage 5 of 5,52.1,High,276,2026-08-15,0.171,N,6
LA-2025-0137,Uttar Pradesh,Agra,26.4766,81.4481,Highway,NHAI,4.0,8,8301000,67.3,2,2025-04-09,Stage 4 of 5,62.1,Medium,399,2026-08-03,0.363,Y,388
LA-2021-0138,Madhya Pradesh,Bhopal,23.3884,78.538,Industrial Corridor,State Industrial Dev. Corp,4.6,24,23777000,41.1,1,2021-11-07,Stage 2 of 5,42.0,Medium,223,2026-07-16,0.357,Y,731
LA-2021-0139,Maharashtra,Aurangabad,20.2026,75.7608,Highway,State PWD,6.3,20,47622000,12.3,3,2021-04-19,Stage 1 of 5,4.7,Low,146,2026-07-29,0.675,Y,251
LA-2020-0140,Andhra Pradesh,Guntur,16.191,79.9088,Railway,Ministry of Railways,28.0,263,260033000,58.7,0,2020-10-12,Stage 2 of 5,32.7,Medium,206,2026-08-27,0.183,N,18
LA-2023-0141,Odisha,Sundargarh,21.0522,85.6412,Highway,NHAI,29.5,29,211820000,69.4,0,2023-02-06,Stage 4 of 5,57.1,Low,156,2026-08-23,0.24,N,0
LA-2021-0142,Maharashtra,Nashik,19.4076,75.9121,Highway,State PWD,21.8,60,119763000,33.3,4,2021-02-09,Stage 3 of 5,42.7,Low,49,2026-03-28,0.529,Y,156
LA-2022-0143,Maharashtra,Nagpur,19.7573,75.976,Power Transmission,State Electricity Board,27.6,149,144274000,90.8,0,2022-02-13,Stage 5 of 5,62.3,High,312,2026-07-22,0.01,N,5
LA-2025-0144,Rajasthan,Alwar,27.6021,74.3715,Highway,State PWD,16.5,48,80653000,57.6,3,2025-11-11,Stage 4 of 5,42.1,High,166,2026-08-13,0.359,Y,41
LA-2024-0145,Maharashtra,Satara,19.6002,76.2472,Irrigation/Water Res.,State Water Resources Dept,45.0,433,349535000,50.2,8,2024-02-21,Stage 5 of 5,42.3,Low,247,2026-07-30,0.866,Y,157
LA-2022-0146,Gujarat,Ahmedabad,21.7476,71.319,Railway,State Railway Infra Corp,20.4,131,154893000,0.0,8,2022-03-12,Stage 1 of 5,0.0,Medium,147,2026-07-30,1.119,Y,916
LA-2023-0147,West Bengal,Kolkata,22.6879,88.0662,Industrial Corridor,State Industrial Dev. Corp,4.0,32,35445000,36.6,0,2023-04-05,Stage 2 of 5,36.2,High,53,2026-04-30,0.377,Y,86
LA-2021-0148,Gujarat,Bharuch,22.7863,70.857,Industrial Corridor,State Industrial Dev. Corp,10.5,103,93808000,44.6,4,2021-03-30,Stage 3 of 5,36.6,Low,241,2026-05-16,0.684,Y,316
LA-2026-0149,Tamil Nadu,Tiruchirappalli,11.2923,78.3473,Industrial Corridor,DMIC/NICDC,22.7,130,97698000,23.2,0,2026-01-11,Stage 1 of 5,1.0,Low,339,2026-08-11,0.508,Y,134
LA-2024-0150,Gujarat,Surat,21.9987,71.5365,Railway,State Railway Infra Corp,5.9,28,49346000,72.7,0,2024-10-27,Stage 4 of 5,48.0,High,265,2026-08-14,0.221,N,9
LA-2023-0151,Uttar Pradesh,Lucknow,27.0933,80.8593,Railway,Ministry of Railways,26.7,117,227167000,60.6,2,2023-01-11,Stage 4 of 5,27.2,Low,142,2026-07-27,0.327,Y,330
LA-2025-0152,Odisha,Sundargarh,21.4827,85.3946,Industrial Corridor,DMIC/NICDC,14.3,49,40795000,73.1,0,2025-06-11,Stage 3 of 5,48.7,High,67,2026-07-15,0.1,N,36
LA-2022-0153,Andhra Pradesh,Vijayawada,15.7382,79.7468,Urban Infra/Metro,Urban Dev. Authority,40.6,313,231874000,77.9,0,2022-04-03,Stage 5 of 5,42.6,Low,93,2026-08-13,0.16,N,7
LA-2022-0154,Andhra Pradesh,Anantapur,15.9002,79.6555,Industrial Corridor,DMIC/NICDC,3.2,17,16384000,10.0,5,2022-04-19,Stage 1 of 5,1.4,Low,73,2026-07-26,0.765,Y,34
LA-2026-0155,Maharashtra,Thane,19.6207,75.3949,Highway,NHAI,18.2,97,106236000,50.1,4,2026-02-17,Stage 4 of 5,31.9,Medium,169,2026-05-01,0.525,Y,319
LA-2021-0156,Bihar,Darbhanga,25.6726,85.3278,Highway,State PWD,21.6,139,232813000,75.9,2,2021-11-02,Stage 4 of 5,84.8,Medium,314,2026-08-04,0.26,N,27
LA-2021-0157,Rajasthan,Jaipur,27.0059,74.0183,Industrial Corridor,State Industrial Dev. Corp,80.1,89,671698000,61.4,0,2021-06-20,Stage 3 of 5,38.8,Medium,172,2026-08-24,0.224,N,60
LA-2023-0158,Gujarat,Vadodara,22.8458,70.8703,Urban Infra/Metro,State Metro Rail Corp,47.6,170,379766000,58.4,0,2023-08-05,Stage 3 of 5,58.6,Medium,280,2026-08-07,0.18,N,0
LA-2021-0159,Odisha,Khordha,21.0098,84.5783,Industrial Corridor,State Industrial Dev. Corp,109.9,1019,1086980000,16.3,3,2021-06-12,Stage 1 of 5,29.6,Medium,88,2026-07-22,0.491,Y,109
LA-2024-0160,Bihar,Bhagalpur,25.4253,85.7362,Irrigation/Water Res.,State Water Resources Dept,8.1,66,69698000,63.8,1,2024-06-27,Stage 3 of 5,52.7,Medium,115,2026-08-18,0.42,Y,255
LA-2023-0161,Karnataka,Mysuru,15.0342,76.2408,Irrigation/Water Res.,State Water Resources Dept,41.6,56,288402000,63.8,4,2023-10-30,Stage 5 of 5,52.7,High,267,2026-08-25,0.549,Y,767
LA-2021-0162,Uttar Pradesh,Noida,26.8035,80.663,Railway,State Railway Infra Corp,39.7,194,218382000,59.2,0,2021-12-31,Stage 3 of 5,56.8,Medium,297,2026-05-31,0.257,N,29
LA-2022-0163,Uttar Pradesh,Agra,26.2951,80.8396,Highway,State PWD,15.9,57,102416000,58.9,1,2022-07-25,Stage 3 of 5,54.9,Medium,219,2026-07-21,0.164,N,0
LA-2023-0164,Bihar,Bhagalpur,24.9789,85.1818,Highway,NHAI,55.2,360,238627000,77.3,0,2023-04-13,Stage 4 of 5,71.4,Medium,278,2026-08-25,0.192,N,13
LA-2021-0165,Bihar,Patna,25.3058,85.5261,Railway,State Railway Infra Corp,96.2,358,677659000,68.3,0,2021-01-14,Stage 4 of 5,54.2,Low,72,2026-07-08,0.386,Y,92
LA-2023-0166,Madhya Pradesh,Jabalpur,23.1402,79.2011,Power Transmission,Power Grid Corp,5.3,48,26537000,59.4,1,2023-10-26,Stage 3 of 5,42.4,Medium,169,2026-07-30,0.169,N,29
LA-2021-0167,Uttar Pradesh,Lucknow,27.1316,80.69,Industrial Corridor,DMIC/NICDC,28.8,132,190399000,41.6,2,2021-05-20,Stage 2 of 5,51.7,High,107,2026-08-06,0.41,Y,23
LA-2024-0168,Uttar Pradesh,Meerut,26.8166,80.4125,Urban Infra/Metro,State Metro Rail Corp,14.9,33,137401000,58.1,0,2024-08-05,Stage 3 of 5,59.9,Low,163,2026-08-22,0.175,N,4
LA-2021-0169,Karnataka,Belagavi,14.7924,75.3665,Industrial Corridor,State Industrial Dev. Corp,11.3,23,32951000,86.4,0,2021-08-12,Stage 5 of 5,77.1,Medium,104,2026-08-25,0.17,N,5
LA-2023-0170,Uttar Pradesh,Kanpur,27.2972,80.8763,Urban Infra/Metro,Urban Dev. Authority,66.1,132,300261000,82.9,0,2023-03-10,Stage 4 of 5,74.1,Medium,348,2026-07-27,0.122,N,60
LA-2023-0171,Andhra Pradesh,Anantapur,15.5471,79.7273,Industrial Corridor,DMIC/NICDC,2.0,6,10569000,50.5,0,2023-05-16,Stage 2 of 5,16.6,High,369,2026-07-29,0.263,N,10
LA-2021-0172,Bihar,Darbhanga,25.6604,85.8319,Industrial Corridor,State Industrial Dev. Corp,9.0,28,34634000,50.0,0,2021-08-21,Stage 2 of 5,40.6,High,95,2026-08-08,0.24,N,7
LA-2024-0173,Andhra Pradesh,Visakhapatnam,15.4173,79.8081,Power Transmission,Power Grid Corp,10.2,58,41765000,68.4,0,2024-02-15,Stage 3 of 5,71.8,Medium,183,2026-08-26,0.081,N,3
LA-2025-0174,Gujarat,Surat,21.8981,70.9451,Highway,NHAI,30.9,134,196729000,82.5,2,2025-10-15,Stage 4 of 5,56.1,High,126,2026-08-20,0.363,Y,132
LA-2025-0175,Andhra Pradesh,Guntur,15.9256,79.8782,Power Transmission,Power Grid Corp,23.2,128,74839000,100.0,0,2025-05-14,Stage 5 of 5,91.5,Low,272,2026-07-26,0.0,N,22
LA-2025-0176,Uttar Pradesh,Varanasi,27.3535,81.1809,Irrigation/Water Res.,State Water Resources Dept,2.6,36,27601000,100.0,0,2025-01-10,Stage 5 of 5,86.0,High,355,2026-07-12,0.019,N,0
LA-2021-0177,Tamil Nadu,Chennai,11.6469,78.3755,Irrigation/Water Res.,State Water Resources Dept,5.6,11,52201000,72.2,0,2021-10-26,Stage 3 of 5,55.7,Medium,20,2026-08-07,0.036,N,8
LA-2023-0178,Uttar Pradesh,Ghaziabad,26.4174,80.722,Power Transmission,Power Grid Corp,27.7,134,157001000,19.2,2,2023-09-03,Stage 1 of 5,17.2,Low,20,2026-03-16,0.649,Y,28
LA-2023-0179,Gujarat,Vadodara,22.7439,71.5733,Industrial Corridor,State Industrial Dev. Corp,29.1,43,147186000,74.0,0,2023-11-11,Stage 4 of 5,59.7,Medium,183,2026-07-30,0.153,N,13
LA-2023-0180,Rajasthan,Jodhpur,26.6318,74.2009,Highway,NHAI,21.9,93,180330000,44.8,0,2023-07-19,Stage 2 of 5,45.2,Medium,228,2026-08-17,0.249,N,25
LA-2022-0181,Tamil Nadu,Madurai,11.6052,78.5363,Railway,State Railway Infra Corp,14.7,62,81612000,54.6,5,2022-09-29,Stage 4 of 5,56.3,Medium,154,2026-05-22,0.604,Y,352
LA-2023-0182,Uttar Pradesh,Agra,26.755,81.2985,Highway,NHAI,23.1,51,60212000,51.1,3,2023-10-06,Stage 3 of 5,48.3,Medium,48,2026-08-13,0.456,Y,105
LA-2022-0183,Andhra Pradesh,Vijayawada,16.2798,79.5338,Highway,NHAI,15.5,31,126163000,53.0,0,2022-09-22,Stage 2 of 5,52.0,Low,145,2026-08-19,0.231,N,8
LA-2024-0184,Madhya Pradesh,Indore,22.7476,78.3566,Irrigation/Water Res.,State Water Resources Dept,4.1,36,38149000,48.4,0,2024-09-06,Stage 2 of 5,46.0,Low,249,2026-08-06,0.125,N,7
LA-2023-0185,Odisha,Khordha,21.0859,84.9466,Highway,NHAI,12.7,28,91751000,31.5,2,2023-10-25,Stage 2 of 5,21.4,Medium,144,2026-08-23,0.463,Y,106
LA-2021-0186,Bihar,Bhagalpur,24.9516,85.093,Highway,State PWD,6.0,22,48972000,66.2,4,2021-09-21,Stage 5 of 5,68.3,Medium,227,2026-06-06,0.481,Y,313
LA-2022-0187,Bihar,Gaya,25.113,85.0833,Irrigation/Water Res.,State Water Resources Dept,13.4,50,40416000,59.2,1,2022-04-28,Stage 3 of 5,53.3,Medium,179,2026-08-19,0.231,N,14
LA-2023-0188,Odisha,Cuttack,21.5488,84.7279,Railway,Ministry of Railways,3.3,12,10970000,53.7,0,2023-03-24,Stage 3 of 5,42.8,Low,346,2026-08-27,0.211,N,34
LA-2024-0189,Andhra Pradesh,Kurnool,15.4332,79.1599,Irrigation/Water Res.,State Water Resources Dept,5.9,32,21115000,55.7,1,2024-05-06,Stage 3 of 5,47.1,High,129,2026-07-22,0.397,Y,343
LA-2025-0190,Maharashtra,Satara,19.2258,75.7563,Irrigation/Water Res.,State Water Resources Dept,6.4,19,21365000,98.1,0,2025-10-20,Stage 5 of 5,76.3,High,133,2026-08-27,0.0,N,30
LA-2024-0191,Uttar Pradesh,Noida,27.1497,80.4078,Railway,Ministry of Railways,9.5,9,53344000,11.6,5,2024-07-02,Stage 2 of 5,26.7,Medium,252,2026-02-01,0.637,Y,392
LA-2023-0192,Tamil Nadu,Salem,10.9321,79.0203,Highway,State PWD,5.3,12,15901000,86.8,0,2023-02-04,Stage 4 of 5,79.0,Medium,234,2026-08-15,0.019,N,6
LA-2022-0193,Uttar Pradesh,Ghaziabad,26.3442,81.5373,Highway,NHAI,28.4,227,269490000,79.3,2,2022-11-30,Stage 4 of 5,78.5,Medium,202,2026-08-27,0.244,N,8
LA-2022-0194,Maharashtra,Nagpur,19.271,75.8377,Irrigation/Water Res.,State Water Resources Dept,13.8,14,45022000,45.4,5,2022-11-25,Stage 4 of 5,47.5,Medium,379,2026-07-25,0.753,Y,1333
LA-2021-0195,Odisha,Cuttack,20.6232,85.3293,Highway,State PWD,81.7,748,263471000,52.6,0,2021-11-25,Stage 2 of 5,48.3,Medium,75,2026-08-02,0.327,Y,146
LA-2022-0196,Odisha,Sundargarh,21.1591,85.3676,Railway,State Railway Infra Corp,47.0,254,425119000,65.7,0,2022-06-30,Stage 4 of 5,66.4,High,92,2026-08-24,0.145,N,18
LA-2025-0197,Gujarat,Ahmedabad,22.4961,71.6727,Industrial Corridor,DMIC/NICDC,47.7,388,216311000,24.6,0,2025-11-09,Stage 1 of 5,17.1,Medium,178,2026-05-19,0.329,Y,230
LA-2021-0198,Tamil Nadu,Madurai,10.873,78.4154,Power Transmission,State Electricity Board,2.0,7,17807000,80.4,0,2021-06-01,Stage 4 of 5,69.4,Medium,109,2026-08-27,0.0,N,4
LA-2025-0199,Andhra Pradesh,Anantapur,15.4289,79.3523,Urban Infra/Metro,Urban Dev. Authority,63.6,599,734900000,43.1,0,2025-08-21,Stage 3 of 5,35.4,High,20,2026-07-01,0.404,Y,52
LA-2025-0200,Tamil Nadu,Chennai,10.6706,78.7441,Highway,NHAI,12.3,54,99634000,77.6,0,2025-12-01,Stage 4 of 5,63.0,High,166,2026-08-18,0.106,N,13
LA-2025-0201,Maharashtra,Nashik,19.2199,75.2405,Irrigation/Water Res.,State Water Resources Dept,6.8,10,53148000,49.1,0,2025-01-08,Stage 2 of 5,58.6,Low,319,2026-07-27,0.27,N,2
LA-2024-0202,Maharashtra,Thane,20.2408,76.3098,Industrial Corridor,DMIC/NICDC,23.8,53,147199000,40.3,0,2024-03-24,Stage 1 of 5,24.0,Medium,334,2026-08-09,0.399,Y,307
LA-2025-0203,Madhya Pradesh,Bhopal,22.6745,78.2014,Irrigation/Water Res.,State Water Resources Dept,15.2,76,80616000,33.5,0,2025-04-23,Stage 1 of 5,28.1,Low,322,2026-08-05,0.473,Y,37
LA-2021-0204,Karnataka,Hubballi-Dharwad,14.8797,75.3511,Highway,State PWD,7.1,34,63313000,31.3,3,2021-05-07,Stage 3 of 5,48.3,High,258,2026-07-27,0.31,Y,660
LA-2021-0205,Maharashtra,Raigad,19.8305,76.2035,Railway,State Railway Infra Corp,8.2,25,45883000,39.5,2,2021-12-24,Stage 3 of 5,33.7,Medium,62,2026-03-01,0.346,Y,134
LA-2021-0206,Andhra Pradesh,Kurnool,15.7859,79.864,Industrial Corridor,State Industrial Dev. Corp,6.6,15,56377000,17.6,12,2021-12-22,Stage 5 of 5,10.9,Medium,72,2026-07-05,1.322,Y,241
LA-2022-0207,Uttar Pradesh,Varanasi,26.7778,80.4042,Power Transmission,Power Grid Corp,9.7,50,86055000,100.0,0,2022-12-08,Stage 5 of 5,82.0,Low,212,2026-08-23,0.032,N,8
LA-2020-0208,Bihar,Bhagalpur,24.5213,85.6966,Power Transmission,Power Grid Corp,18.3,42,110886000,64.3,1,2020-09-28,Stage 3 of 5,49.9,Low,79,2026-08-24,0.271,N,9
LA-2022-0209,Rajasthan,Alwar,26.5982,74.2247,Highway,NHAI,2.0,13,19646000,41.1,0,2022-06-17,Stage 2 of 5,41.0,High,227,2026-08-15,0.022,N,6
LA-2025-0210,Bihar,Darbhanga,25.038,85.8374,Urban Infra/Metro,State Metro Rail Corp,55.5,328,190995000,85.0,0,2025-10-21,Stage 4 of 5,68.9,Medium,104,2026-08-22,0.213,N,7
LA-2021-0211,Bihar,Bhagalpur,24.5249,85.1155,Highway,State PWD,57.3,575,353274000,36.3,0,2021-11-25,Stage 1 of 5,34.9,Low,69,2026-07-19,0.388,Y,57
LA-2022-0212,Tamil Nadu,Chennai,11.5396,78.4468,Industrial Corridor,DMIC/NICDC,131.1,422,842981000,76.7,0,2022-09-08,Stage 3 of 5,47.7,High,221,2026-08-14,0.181,N,0
LA-2021-0213,Maharashtra,Thane,19.6505,75.7722,Railway,State Railway Infra Corp,18.9,74,140287000,17.2,0,2021-11-25,Stage 1 of 5,33.4,Low,25,2026-08-09,0.269,N,5
LA-2023-0214,Karnataka,Bengaluru Rural,15.4241,76.2403,Railway,State Railway Infra Corp,32.1,42,131019000,75.6,1,2023-03-08,Stage 4 of 5,78.8,Low,211,2026-07-31,0.354,Y,480
LA-2024-0215,Maharashtra,Thane,19.4651,75.6168,Irrigation/Water Res.,State Water Resources Dept,34.6,23,184945000,32.0,0,2024-09-27,Stage 1 of 5,20.4,Low,218,2026-08-25,0.297,N,2
LA-2022-0216,Tamil Nadu,Salem,10.8577,78.6503,Highway,State PWD,56.9,41,441956000,100.0,0,2022-12-11,Stage 5 of 5,79.3,Low,114,2026-08-17,0.0,N,12
LA-2022-0217,Bihar,Muzaffarpur,25.2346,84.811,Highway,State PWD,6.3,29,29218000,38.7,5,2022-07-17,Stage 4 of 5,21.7,Low,102,2026-04-24,0.697,Y,25
LA-2024-0218,Odisha,Cuttack,21.4148,85.4778,Highway,NHAI,7.8,51,59044000,100.0,1,2024-02-13,Stage 5 of 5,85.0,Low,276,2026-08-23,0.18,N,5
LA-2024-0219,Uttar Pradesh,Varanasi,27.4186,81.1209,Urban Infra/Metro,Urban Dev. Authority,40.6,86,305023000,0.0,8,2024-03-10,Stage 1 of 5,0.0,Medium,108,2026-06-29,0.958,Y,151
LA-2022-0220,Maharashtra,Raigad,19.7796,76.2197,Industrial Corridor,State Industrial Dev. Corp,6.6,39,53352000,99.3,0,2022-02-07,Stage 5 of 5,79.4,Medium,188,2026-08-05,0.031,N,5
LA-2020-0221,Rajasthan,Udaipur,26.7868,74.6483,Power Transmission,State Electricity Board,10.9,29,102444000,34.4,0,2020-11-17,Stage 1 of 5,21.7,Medium,109,2026-08-13,0.281,N,1
LA-2024-0222,Uttar Pradesh,Agra,27.379,81.3917,Highway,NHAI,14.6,89,98452000,83.7,0,2024-03-31,Stage 4 of 5,79.1,High,170,2026-08-06,0.068,N,3
LA-2021-0223,Karnataka,Belagavi,15.4806,75.5961,Irrigation/Water Res.,State Water Resources Dept,15.8,53,160104000,31.5,0,2021-07-18,Stage 2 of 5,39.0,Medium,247,2026-08-07,0.358,Y,547
LA-2023-0224,Rajasthan,Jodhpur,26.4804,74.7716,Irrigation/Water Res.,State Water Resources Dept,4.7,35,46889000,96.5,0,2023-07-11,Stage 5 of 5,65.3,Low,167,2026-08-24,0.039,N,0
LA-2023-0225,Bihar,Darbhanga,24.5719,85.1892,Railway,State Railway Infra Corp,43.3,146,249516000,39.0,0,2023-05-03,Stage 2 of 5,51.5,Medium,303,2026-08-26,0.199,N,10
LA-2025-0226,Tamil Nadu,Salem,11.722,78.5792,Urban Infra/Metro,Urban Dev. Authority,10.9,40,57214000,85.6,0,2025-07-05,Stage 4 of 5,67.2,High,245,2026-08-24,0.128,N,19
LA-2025-0227,Karnataka,Hubballi-Dharwad,15.0865,75.4045,Highway,NHAI,35.8,266,354752000,40.1,1,2025-04-27,Stage 2 of 5,29.6,High,105,2026-08-21,0.174,N,16
LA-2024-0228,Rajasthan,Alwar,27.463,73.6298,Industrial Corridor,State Industrial Dev. Corp,21.1,81,214262000,87.2,0,2024-12-05,Stage 4 of 5,71.3,Low,282,2026-07-17,0.119,N,5
LA-2021-0229,Maharashtra,Raigad,19.1734,76.1989,Highway,NHAI,18.2,29,89178000,32.9,5,2021-02-15,Stage 3 of 5,37.1,Medium,191,2026-02-26,0.597,Y,136
LA-2020-0230,Maharashtra,Nashik,19.9134,75.2625,Highway,State PWD,5.7,28,54270000,57.4,0,2020-11-03,Stage 2 of 5,34.0,Low,197,2026-08-07,0.23,N,0
LA-2024-0231,West Bengal,Kolkata,23.1139,87.8595,Power Transmission,Power Grid Corp,51.1,704,315954000,68.9,0,2024-05-22,Stage 4 of 5,48.6,Medium,235,2026-08-25,0.161,N,8
LA-2024-0232,Uttar Pradesh,Kanpur,27.3935,81.4906,Railway,State Railway Infra Corp,8.4,51,67464000,77.9,0,2024-07-28,Stage 4 of 5,81.9,Medium,202,2026-08-12,0.056,N,11
LA-2024-0233,Rajasthan,Jodhpur,27.2597,74.7268,Power Transmission,Power Grid Corp,108.9,1320,1127679000,100.0,0,2024-05-03,Stage 5 of 5,82.2,Low,149,2026-08-12,0.161,N,13
LA-2022-0234,Andhra Pradesh,Vijayawada,16.3017,79.3849,Railway,Ministry of Railways,4.8,16,42259000,54.9,2,2022-10-15,Stage 3 of 5,51.2,Medium,268,2026-08-25,0.247,N,11
LA-2022-0235,Rajasthan,Jaipur,26.9005,73.9126,Industrial Corridor,State Industrial Dev. Corp,20.1,42,131026000,60.5,0,2022-06-21,Stage 3 of 5,66.9,Low,397,2026-08-22,0.095,N,21
LA-2025-0236,West Bengal,Nadia,23.2723,87.9719,Power Transmission,Power Grid Corp,4.4,8,38751000,45.4,0,2025-10-16,Stage 2 of 5,34.3,High,239,2026-08-26,0.078,N,8
LA-2023-0237,Karnataka,Hubballi-Dharwad,15.6729,76.1134,Urban Infra/Metro,Urban Dev. Authority,25.4,135,157009000,61.5,2,2023-12-03,Stage 3 of 5,46.7,Medium,319,2026-06-28,0.452,Y,130
LA-2025-0238,Gujarat,Bharuch,21.9036,70.9427,Industrial Corridor,State Industrial Dev. Corp,4.3,19,36868000,95.3,0,2025-02-19,Stage 5 of 5,86.5,Medium,268,2026-08-21,0.152,N,10
LA-2022-0239,Maharashtra,Raigad,19.178,75.5435,Railway,State Railway Infra Corp,6.6,23,61097000,79.5,0,2022-11-28,Stage 4 of 5,71.4,Medium,147,2026-08-26,0.146,N,34
LA-2023-0240,Andhra Pradesh,Kurnool,16.2918,79.8568,Railway,State Railway Infra Corp,46.9,165,397112000,69.3,0,2023-12-10,Stage 3 of 5,53.5,Medium,164,2026-08-24,0.208,N,2
LA-2021-0241,Gujarat,Surat,22.5563,71.5962,Industrial Corridor,State Industrial Dev. Corp,18.6,86,91441000,52.1,1,2021-03-03,Stage 3 of 5,47.9,Medium,383,2026-07-17,0.391,Y,197
LA-2023-0242,West Bengal,Kolkata,23.26,88.3621,Industrial Corridor,State Industrial Dev. Corp,22.5,29,147087000,60.0,1,2023-11-23,Stage 3 of 5,59.2,Low,252,2026-07-30,0.22,N,10
LA-2021-0243,Karnataka,Hubballi-Dharwad,15.6834,75.2781,Highway,NHAI,54.5,169,437276000,69.9,0,2021-07-09,Stage 3 of 5,75.8,Medium,191,2026-07-30,0.318,Y,344
LA-2021-0244,Bihar,Gaya,24.586,84.8405,Power Transmission,State Electricity Board,8.6,23,65212000,51.5,0,2021-03-11,Stage 3 of 5,25.0,Medium,252,2026-06-03,0.375,Y,306
LA-2022-0245,Andhra Pradesh,Visakhapatnam,16.0974,79.5602,Irrigation/Water Res.,State Water Resources Dept,7.7,27,78646000,98.3,0,2022-10-09,Stage 5 of 5,72.9,Medium,296,2026-08-26,0.019,N,21
LA-2025-0246,Andhra Pradesh,Visakhapatnam,16.4225,79.2075,Railway,State Railway Infra Corp,2.0,13,9385000,45.1,4,2025-12-17,Stage 3 of 5,40.8,Medium,237,2026-06-29,0.575,Y,738
LA-2022-0247,Rajasthan,Jodhpur,26.8388,73.6602,Industrial Corridor,DMIC/NICDC,10.8,58,50063000,53.1,0,2022-12-02,Stage 2 of 5,56.4,Medium,231,2026-08-27,0.148,N,9
LA-2025-0248,Tamil Nadu,Tiruchirappalli,10.5755,78.4483,Railway,State Railway Infra Corp,11.6,38,92959000,76.9,1,2025-03-31,Stage 5 of 5,56.4,Low,20,2026-08-18,0.253,N,15
LA-2026-0249,Maharashtra,Satara,20.3239,75.3382,Railway,State Railway Infra Corp,56.3,203,324021000,84.2,0,2026-01-03,Stage 4 of 5,79.7,Low,51,2026-06-28,0.062,N,5
LA-2023-0250,Tamil Nadu,Tiruchirappalli,11.3883,79.2288,Railway,State Railway Infra Corp,12.6,118,81320000,58.1,2,2023-03-11,Stage 4 of 5,49.1,Low,229,2026-07-10,0.356,Y,169
LA-2025-0251,Maharashtra,Satara,20.2962,76.1526,Irrigation/Water Res.,State Water Resources Dept,6.9,58,40944000,26.2,0,2025-08-10,Stage 1 of 5,19.4,Medium,217,2026-05-16,0.368,Y,403
LA-2023-0252,Karnataka,Mysuru,15.4158,76.0713,Power Transmission,State Electricity Board,4.2,5,38297000,87.4,0,2023-11-22,Stage 5 of 5,72.5,Low,212,2026-08-27,0.116,N,3
LA-2025-0253,Maharashtra,Aurangabad,20.1387,75.4876,Railway,State Railway Infra Corp,50.4,191,337260000,50.7,0,2025-01-16,Stage 3 of 5,41.5,Low,254,2026-06-25,0.251,N,6
LA-2025-0254,Bihar,Gaya,24.7111,85.7825,Railway,State Railway Infra Corp,6.9,54,18141000,18.4,2,2025-12-30,Stage 1 of 5,22.9,Low,109,2026-03-03,0.521,Y,425
LA-2024-0255,Uttar Pradesh,Meerut,26.8583,81.4368,Industrial Corridor,DMIC/NICDC,97.1,582,890668000,46.8,0,2024-11-04,Stage 2 of 5,42.3,Low,98,2026-08-27,0.217,N,60
LA-2020-0256,Gujarat,Surat,21.7578,70.7778,Railway,State Railway Infra Corp,4.0,7,9946000,79.6,0,2020-10-28,Stage 4 of 5,59.6,High,62,2026-08-20,0.181,N,17
LA-2024-0257,Tamil Nadu,Salem,11.6579,79.0027,Highway,NHAI,19.1,240,145619000,65.8,0,2024-02-09,Stage 3 of 5,44.2,High,157,2026-08-23,0.174,N,13
LA-2022-0258,Gujarat,Vadodara,22.4927,71.2106,Urban Infra/Metro,State Metro Rail Corp,47.5,41,140807000,41.8,0,2022-07-07,Stage 1 of 5,34.9,Medium,155,2026-08-27,0.221,N,18
LA-2024-0259,Odisha,Sundargarh,20.6349,84.6708,Highway,State PWD,44.2,173,146680000,72.3,2,2024-05-06,Stage 5 of 5,63.6,Medium,254,2026-08-10,0.248,N,13
